Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-hl7.fhir.cl.oftalmologia.json	4275	-	0	0	0	0	0	0	11	74	0	0	1	0	0	0	0	0	0	0	0	212	254	0	0	0	2	0	2
fsh-generated/resources/Device-LenteIntraocularEjemplo.json	1532	6	0	0	1	0	0	0	2	1659	0	0	0	0	0	0	0	0	0	0	0	79	175	0	0	1	0	0	0
fsh-generated/resources/Encounter-EncuentroEjemplo.json	1655	3	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	30	126	0	0	0	0	0	0
fsh-generated/resources/Patient-PacienteEjemplo.json	3446	4	0	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	0	0	0	53	61	0	0	0	0	0	0
fsh-generated/resources/Procedure-ProcedimientoEjemploCatarata.json	2895	3	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	53	106	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Paciente-PacienteOftalmologia.json	706	2	0	92	1	0	0	0	0	61	0	0	0	0	0	1	0	2	0	0	0	1743	2469	0	0	0	14	1	2
fsh-generated/resources/StructureDefinition-dispositivo-oftalmologico.json	1592	4	0	41	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	1034	1348	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-encuentro-oftalmologia.json	1308	2	0	52	0	0	0	0	0	21	0	0	1	0	0	0	0	1	0	0	0	1120	1113	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-lateralidad.json	1416	2	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	93	805	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-procedimiento-oftalmologia.json	3427	2	0	26	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	1010	1414	0	0	0	6	0	0
fsh-generated/resources/ValueSet-lateralidad-vs.json	660	1	0	0	0	0	0	0	0	804	0	0	0	0	0	0	0	0	0	0	0	41	946	0	1	0	1	0	0
\fsh-generated\includes\fsh-link-references.md	648	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	1061	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
\input\pagecontent\index.md	82	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	7800	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	0	0	0	0	0	0
